order_id,customer_id,product_id,quantity,order_date
1,445,27,1,2025-01-10 04:29:00
2,77,14,2,2024-04-20 10:21:32
3,281,41,3,2025-07-13 06:53:25
4,897,32,2,2024-12-10 06:27:39
5,135,33,3,2024-05-01 05:28:58
6,765,4,2,2024-03-21 13:27:07
7,340,42,4,2024-05-27 05:01:13
8,189,32,2,2024-04-29 11:46:09
9,845,41,3,2024-09-13 05:42:03
10,538,48,4,2025-01-25 22:47:00
11,870,22,4,2024-02-18 07:13:27
12,632,32,5,2024-04-30 01:39:05
13,931,5,5,2023-10-31 20:57:18
14,959,47,3,2024-08-14 12:08:00
15,558,24,5,2024-04-24 10:51:51
16,115,21,1,2024-02-13 07:16:33
17,397,10,2,2023-12-12 22:49:45
18,629,50,1,2024-03-29 04:57:43
19,24,25,5,2024-01-31 01:06:12
20,857,2,2,2025-07-25 00:26:30
21,260,40,1,2023-11-13 12:18:22
22,955,6,2,2023-12-20 13:07:29
23,568,38,2,2023-09-23 20:06:47
24,745,33,4,2023-11-28 13:50:06
25,335,4,4,2024-08-29 09:36:50
26,84,34,1,2023-11-17 09:17:19
27,741,2,3,2025-06-10 02:45:19
28,878,6,4,2025-01-25 00:51:23
29,799,29,2,2024-05-04 10:03:26
30,392,42,2,2025-06-28 15:34:38
31,852,34,3,2023-11-01 18:12:08
32,370,2,3,2024-04-18 02:27:37
33,697,13,1,2024-09-18 07:40:09
34,618,11,1,2025-03-31 00:04:38
35,684,4,2,2023-10-20 18:33:48
36,236,21,5,2025-08-15 20:53:16
37,886,42,3,2025-02-06 23:50:32
38,6,40,4,2025-05-27 14:01:24
39,966,49,2,2023-10-12 21:29:37
40,16,27,5,2023-09-09 15:02:08
41,581,7,1,2025-01-17 11:15:25
42,188,49,5,2024-03-04 00:22:04
43,622,11,1,2025-06-07 19:14:27
44,768,25,3,2024-07-24 14:44:55
45,489,25,5,2025-01-03 21:25:09
46,663,27,2,2025-07-22 07:48:45
47,168,35,1,2025-02-05 01:40:45
48,963,15,2,2023-11-02 10:21:46
49,926,33,1,2024-04-16 16:36:15
50,289,15,1,2024-12-01 00:16:44
51,989,35,2,2025-01-13 20:05:15
52,880,21,5,2025-01-06 06:58:44
53,630,39,2,2025-01-31 21:50:50
54,151,36,2,2024-01-06 21:08:29
55,578,16,3,2024-03-10 10:03:14
56,488,40,3,2025-04-14 16:03:41
57,430,40,3,2023-11-13 23:49:16
58,283,36,1,2024-08-29 10:24:08
59,846,9,4,2024-06-29 04:44:18
60,571,5,2,2023-12-13 17:52:46
61,689,20,1,2024-02-11 01:10:53
62,900,34,4,2023-09-06 12:50:24
63,534,21,2,2025-02-28 13:36:17
64,563,39,5,2023-11-14 21:01:48
65,867,38,4,2024-03-24 09:26:09
66,507,42,5,2023-11-26 16:44:47
67,238,3,1,2024-04-15 17:28:46
68,855,15,2,2024-01-04 05:17:06
69,574,8,3,2023-08-27 19:49:49
